Key,en,es,ar,fr
"Invalid request, sender recipient not found!","Invalid request, sender recipient not found!","Solicitud no válida, ¡no se encontró el destinatario del remitente!",طلب غير صالح، لم يتم العثور على مستلم المرسل!,"Demande invalide, expéditeur destinataire introuvable !"
Sender recipient updated successfully,Sender recipient updated successfully,El destinatario del remitente se actualizó correctamente,تم تحديث مستلم المرسل بنجاح,L'expéditeur et le destinataire ont été mis à jour avec succès
Recipient deleted successfully,Recipient deleted successfully,Destinatario eliminado exitosamente,تم حذف المستلم بنجاح,Destinataire supprimé avec succès
My Receiver Recipients,My Receiver Recipients,Destinatarios de mi receptor,متلقي الاستقبال الخاص بي,Mes destinataires destinataires
Receiver recipient save successfully,Receiver recipient save successfully,El destinatario del destinatario se guardó correctamente,تم حفظ مستلم جهاز الاستقبال بنجاح,Le destinataire a enregistré avec succès
Successfully get receiver recipient,Successfully get receiver recipient,Obtener con éxito el destinatario del receptor,تم الحصول على مستلم المتلقي بنجاح,Réussir à obtenir le destinataire du destinataire
"Invalid request, receiver recipient not found!","Invalid request, receiver recipient not found!","Solicitud no válida, ¡no se encontró el destinatario!",طلب غير صالح، لم يتم العثور على المستلم!,"Demande invalide, destinataire destinataire introuvable !"
Receiver recipient updated successfully,Receiver recipient updated successfully,El destinatario del receptor se actualizó correctamente,تم تحديث مستلم جهاز الاستقبال بنجاح,Le destinataire du destinataire a été mis à jour avec succès
Successfully got sender recipient,Successfully got sender recipient,Se obtuvo el destinatario del remitente con éxito,تم الحصول على مستلم المرسل بنجاح,Expéditeur destinataire réussi
Successfully got receiver recipient,Successfully got receiver recipient,Se obtuvo el destinatario con éxito,تم الحصول على المتلقي بنجاح,Destinataire obtenu avec succès
Receiver Recipient is invalid,Receiver Recipient is invalid,El destinatario del destinatario no es válido,مستلم المتلقي غير صالح,Le destinataire n'est pas valide
"Sorry, Receiver wallet not found","Sorry, Receiver wallet not found","Lo sentimos, no se encontró la billetera del receptor",عذرًا، لم يتم العثور على محفظة جهاز الاستقبال,"Désolé, le portefeuille du destinataire est introuvable"
Google 2FA Updated Successfully,Google 2FA Updated Successfully,Google 2FA se actualizó con éxito,تم تحديث Google 2FA بنجاح,Google 2FA mis à jour avec succès
Can't transfer money to your own,Can't transfer money to your own,No puedo transferir dinero a tu cuenta,لا يمكن تحويل الأموال إلى حسابك,Impossible de transférer de l'argent sur le vôtre
Agent Dashboard,Agent Dashboard,Panel de agentes,لوحة تحكم الوكيل,Tableau de bord des agents
Agent Profile,Agent Profile,Perfil del agente,الملف الشخصي للوكيل,Profil d'agent
Agent Notifications,Agent Notifications,Notificaciones de agentes,إشعارات الوكيل,Notifications aux agents
Can't money out to your own,Can't money out to your own,No puedes sacar dinero para ti,لا يمكن الحصول على المال بنفسك,Je ne peux pas dépenser de l'argent pour toi
Money Out Successful,Money Out Successful,Salida de dinero exitosa,تم إخراج الأموال بنجاح,Récupération d'argent réussie
Valid agent for transaction,Valid agent for transaction,Agente válido para transacción,وكيل صالح للمعاملة,Agent valide pour la transaction
Profitable Logs,Profitable Logs,Registros rentables,سجلات مربحة,Bûches rentables
PayLink Api,PayLink Api,API de enlace de pago,واجهة برمجة تطبيقات PayLink,API PayLink
Remitance,Remitance,remesa,التحويلات المالية,Remise de fonds
Receviver Countries,Receviver Countries,Países receptores,الدول المستقبلة,Pays récepteurs
Bank Deposits,Bank Deposits,Depósitos bancarios,الودائع المصرفية,Dépôts de banque
Cash Pickups,Cash Pickups,Retiros de efectivo,التقاطات النقدية,Collectes d'espèces
Bill Pay Logs,Bill Pay Logs,Registros de pago de facturas,سجلات دفع الفواتير,Journaux de paiement de factures
All Link,All Link,Todos los enlaces,كل الرابط,Tous les liens
Active Link,Active Link,Enlace activo,الرابط النشط,Lien actif
Closed Link,Closed Link,Enlace cerrado,رابط مغلق,Lien fermé
Profit Logs,Profit Logs,Registros de ganancias,سجلات الربح,Journaux de bénéfices
All Profits,All Profits,Todas las ganancias,جميع الأرباح,Tous les bénéfices
Setup Module,Setup Module,Módulo de configuración,وحدة الإعداد,Module de configuration
Auth Section,Auth Section,Sección de autenticación,قسم المصادقة,Section d'authentification
APP Section,APP Section,Sección de aplicaciones,قسم التطبيقات,Section APPLICATION
Security Section,Security Section,Sección de Seguridad,قسم الأمن,Section de sécurité
Overview Section,Overview Section,Sección de descripción general,قسم نظرة عامة,Section Présentation
Why Choose Us,Why Choose Us,Por qué elegirnos,لماذا أخترتنا,Pourquoi nous choisir
Brand Section,Brand Section,Sección de marca,قسم العلامات التجارية,Section Marque
Merchant Section,Merchant Section,Sección Comerciante,قسم التاجر,Section Marchand
Merchant App,Merchant App,Aplicación comercial,تطبيق التاجر,Application marchande
Developer Intro,Developer Intro,Introducción para desarrolladores,مقدمة المطور,Présentation du développeur
Developer FAQ,Developer FAQ,Preguntas frecuentes para desarrolladores,الأسئلة الشائعة للمطورين,FAQ des développeurs
Useful LInks,Useful LInks,Enlaces útiles,روابط مفيدة,Liens utiles
Contact Messages,Contact Messages,Mensajes de contacto,رسائل الاتصال,Messages de contact
Add Money Balance,Add Money Balance,Agregar saldo de dinero,إضافة رصيد المال,Ajouter un solde d'argent
Money Out Balance,Money Out Balance,Saldo de salida de dinero,رصيد الأموال الخارجة,Solde d'argent
This Month,This Month,Este mes,هذا الشهر,Ce mois-ci
Last Month,Last Month,El mes pasado,الشهر الماضي,Le mois dernier
Total Profit,Total Profit,Beneficio total,اجمالي الربح,Bénéfice total
Completed,Completed,Terminado,مكتمل,Complété
Pending,Pending,Pendiente,قيد الانتظار,En attente
Inactive,Inactive,Inactivo,غير نشط,Inactif
Remittance Balance,Remittance Balance,Saldo de remesas,رصيد التحويلات,Solde de remise
Unverified,Unverified,Inconfirmado,لم يتم التحقق منها,Non vérifié
Total Users,Total Users,Usuarios totales,إجمالي المستخدمين,Nombre total d'utilisateurs
Total Merchants,Total Merchants,Comerciantes totales,إجمالي التجار,Total des marchands
Total Supports Tickets,Total Supports Tickets,Boletos de apoyo total,إجمالي تذاكر الدعم,Total des tickets de support
Flutterwave Balance,Flutterwave Balance,Equilibrio de ondas de aleteo,توازن موجة الرفرفة,Équilibre des ondes flottantes
Stripe Issuing Balance,Stripe Issuing Balance,Saldo de emisión de rayas,شريط إصدار الرصيد,Solde d'émission Stripe
Sudo Balance,Sudo Balance,Equilibrio sudo,توازن سودو,Équilibre sudo
Strowallet Balance,Strowallet Balance,Saldo de billetera,رصيد ستروولت,Solde du portefeuille
LIVE TIME SUPERADMIN PROFITS BALANCE,LIVE TIME SUPERADMIN PROFITS BALANCE,SALDO DE GANANCIAS DEL SUPERADMIN EN TIEMPO EN VIVO,رصيد أرباح المشرف المتميز في الوقت المباشر,SOLDE DES BÉNÉFICES DU SUPERADMIN EN TEMPS DIRECT
Monthly Add Money Chart,Monthly Add Money Chart,Gráfico mensual para agregar dinero,مخطط إضافة الأموال شهريًا,Tableau d'ajout d'argent mensuel
View,View,Vista,منظر,Voir
Monthly Virtual Card Chart,Monthly Virtual Card Chart,Gráfico mensual de tarjetas virtuales,مخطط البطاقة الافتراضية الشهرية,Tableau mensuel des cartes virtuelles
User Analytics,User Analytics,Análisis de usuario,تحليلات المستخدم,Analyse des utilisateurs
View Users,View Users,Ver usuarios,عرض المستخدمين,Afficher les utilisateurs
Merchant Analytics,Merchant Analytics,Análisis de comerciantes,تحليلات التاجر,Analyse des marchands
View Merchants,View Merchants,Ver comerciantes,عرض التجار,Voir les marchands
Latest Add Money,Latest Add Money,Última adición de dinero,أحدث إضافة المال,Dernier ajout d'argent
success,Success,Éxito,نجاح,Succès
Successfully updated password. Please login,Successfully updated password. Please login,Contraseña actualizada correctamente. Por favor Iniciar sesión,تم تحديث كلمة المرور بنجاح. الرجاء تسجيل الدخول,Mot de passe mis à jour avec succès. Veuillez vous connecter
Complete Logs,Complete Logs,Registros completos,سجلات كاملة,Journaux complets
Add money details for,Add money details for,Agregar detalles de dinero para,إضافة تفاصيل المال ل,Ajouter des détails financiers pour
Add Money request approved successfully,Add Money request approved successfully,Solicitud de Agregar dinero aprobada exitosamente,تمت الموافقة على طلب إضافة الأموال بنجاح,La demande d'ajout d'argent a été approuvée avec succès
Add Money request rejected successfully,Add Money request rejected successfully,Solicitud de Agregar dinero rechazada exitosamente,تم رفض طلب إضافة الأموال بنجاح,Demande d'ajout d'argent rejetée avec succès
error,error,error,خطأ,erreur
Ops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,Ops! Failed to send mail. Please recheck your mail credentials or reconfigure mail,¡Ops! No se pudo enviar el correo. Vuelva a verificar sus credenciales de correo o reconfigure el correo.,العمليات! فشل في إرسال البريد. يرجى إعادة التحقق من بيانات اعتماد البريد الخاص بك أو إعادة تكوين البريد,Opérations ! Échec de l'envoi du courrier. Veuillez revérifier vos identifiants de messagerie ou reconfigurer la messagerie
Email send successfully!,Email send successfully!,¡Envío de correo electrónico exitoso!,إرسال البريد الإلكتروني بنجاح!,E-mail envoyé avec succès !
Role assign failed!,Role assign failed!,¡Error en la asignación de roles!,فشل تعيين الدور!,Échec de l'attribution du rôle !
New admin created successfully!,New admin created successfully!,¡Nuevo administrador creado exitosamente!,تم إنشاء المشرف الجديد بنجاح!,Nouvel administrateur créé avec succès !
warning,warning,advertencia,تحذير,avertissement
Ops! Target admin not found!,Ops! Target admin not found!,¡Ops! ¡Administrador objetivo no encontrado!,العمليات! لم يتم العثور على المشرف المستهدف!,Opérations ! Administrateur cible introuvable !
Failed to assign role.,Failed to assign role.,No se pudo asignar el rol.,فشل في تعيين الدور.,Échec de l'attribution du rôle.
Admin information updated successfully!,Admin information updated successfully!,¡La información del administrador se actualizó exitosamente!,تم تحديث معلومات المشرف بنجاح!,Les informations d'administration ont été mises à jour avec succès !
Admin Roles,Admin Roles,Funciones de administrador,أدوار المشرف,Rôles d'administrateur
Admin not found!,Admin not found!,Administrador no encontrado!,لم يتم العثور على المشرف!,Administrateur introuvable !
Admin status updated successfully!,Admin status updated successfully!,¡El estado del administrador se actualizó exitosamente!,تم تحديث حالة المشرف بنجاح!,Le statut d'administrateur a été mis à jour avec succès !
Admin role created successfully!,Admin role created successfully!,¡El rol de administrador se creó exitosamente!,تم إنشاء دور المشرف بنجاح!,Rôle d'administrateur créé avec succès !
Ops! Target not found!,Ops! Target not found!,¡Ops! ¡Objetivo no encontrado!,العمليات! لم يتم العثور على الهدف!,Opérations ! Cible introuvable !
Ops! Target role not found!,Ops! Target role not found!,¡Ops! ¡Rol objetivo no encontrado!,العمليات! لم يتم العثور على الدور المستهدف!,Opérations ! Rôle cible introuvable !
Admin role updated successfully!,Admin role updated successfully!,¡El rol de administrador se actualizó exitosamente!,تم تحديث دور المشرف بنجاح!,Rôle d'administrateur mis à jour avec succès !
Super admin role can,Super admin role can,El rol de superadministrador puede,يمكن لدور المشرف المتميز,Le rôle de super-administrateur peut
Admin role deleted successfully!,Admin role deleted successfully!,¡El rol de administrador se eliminó correctamente!,تم حذف دور المشرف بنجاح!,Rôle d'administrateur supprimé avec succès !
Permission Group,Permission Group,Grupo de permisos,مجموعة الأذونات,Groupe d'autorisations
Permission created successfully!,Permission created successfully!,¡Permiso creado exitosamente!,تم إنشاء الإذن بنجاح!,Autorisation créée avec succès !
Target not found!,Target not found!,¡Objetivo no encontrado!,لم يتم العثور على الهدف!,Cible introuvable !
Permission not found!,Permission not found!,¡Permiso no encontrado!,لم يتم العثور على إذن!,Autorisation introuvable !
Permission updated successfully!,Permission updated successfully!,¡Permiso actualizado exitosamente!,تم تحديث الإذن بنجاح!,Autorisation mise à jour avec succès !
Permission deleted successfully!,Permission deleted successfully!,¡Permiso eliminado exitosamente!,تم حذف الإذن بنجاح!,Autorisation supprimée avec succès !
Role permission not found!,Role permission not found!,¡Permiso de rol no encontrado!,لم يتم العثور على إذن الدور!,Autorisation de rôle introuvable !
Permission assign successfully!,Permission assign successfully!,¡El permiso se asignó correctamente!,تم تعيين الإذن بنجاح!,Attribution d'autorisation réussie !
Admin deleted successfully!,Admin deleted successfully!,¡El administrador se eliminó exitosamente!,تم حذف المشرف بنجاح!,Administrateur supprimé avec succès !
Active Agent,Active Agent,Agente activo,عامل نشط,Agent actif
Email Unverified Agents,Email Unverified Agents,Envíe un correo electrónico a agentes no verificados,إرسال بريد إلكتروني إلى الوكلاء الذين لم يتم التحقق منهم,Envoyer un e-mail aux agents non vérifiés
KYC Unverified Agents,KYC Unverified Agents,Agentes no verificados de KYC,وكلاء KYC الذين لم يتم التحقق منهم,Agents non vérifiés KYC
Agent Details,Agent Details,Detalles del agente,تفاصيل الوكيل,Détails de l'agent
Ops! Agent not exists,Ops! Agent not exists,¡Ops! El agente no existe,العمليات! الوكيل غير موجود,Opérations ! L'agent n'existe pas
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,تم تحديث معلومات الملف الشخصي بنجاح!,Les informations de profil ont été mises à jour avec succès !
KYC Profile,KYC Profile,Perfil KYC,ملف تعريف KYC,Profil KYC
Agent KYC information not found,Agent KYC information not found,Información KYC del agente no encontrada,لم يتم العثور على معلومات وكيل KYC,Informations KYC de l'agent introuvables
Agent KYC successfully approved,Agent KYC successfully approved,Agente KYC aprobado exitosamente,تمت الموافقة على وكيل KYC بنجاح,Agent KYC approuvé avec succès
Agent doesn,Agent doesn,El agente no,الوكيل لا,L'agent ne
Agent KYC information is rejected,Agent KYC information is rejected,La información KYC del agente es rechazada,تم رفض معلومات الوكيل KYC,Les informations KYC de l'agent sont rejetées
Mail successfully sended,Mail successfully sended,Correo enviado exitosamente,تم إرسال البريد بنجاح,Mail envoyé avec succès
Ops! Agent doesn,Ops! Agent doesn,¡Ops! El agente no,العمليات! الوكيل لا,Opérations ! L'agent ne
Agent (Web) Panel Does Not Added Yet,Agent (Web) Panel Does Not Added Yet,El panel del agente (web) aún no se ha agregado,لم تتم إضافة لوحة الوكيل (الويب) بعد,Le panneau Agent (Web) n'est pas encore ajouté
Agent do not have sufficient balance,Agent do not have sufficient balance,El agente no tiene saldo suficiente,الوكيل ليس لديه رصيد كافي,L'agent n'a pas de solde suffisant
Update Balance,Update Balance,Actualizar saldo,تحديث الرصيد,Mettre à jour le solde
Transaction Failed!,Transaction Failed!,¡Transacción fallida!,فشل الاجراء!,La transaction a échoué!
Transaction success,Transaction success,Éxito de la transacción,نجاح الصفقة,Succès des transactions
Onboard Screen Added Successfully!,Onboard Screen Added Successfully!,¡Pantalla integrada agregada con éxito!,تمت إضافة الشاشة على متن الطائرة بنجاح!,Écran intégré ajouté avec succès !
Onboard screen not found!,Onboard screen not found!,¡No se encontró la pantalla integrada!,لم يتم العثور على الشاشة على متن الطائرة!,Écran embarqué introuvable !
Onboard screen status updated successfully!,Onboard screen status updated successfully!,¡El estado de la pantalla integrada se actualizó correctamente!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!,L'état de l'écran intégré a été mis à jour avec succès !
Onboard screen information updated successfully!,Onboard screen information updated successfully!,¡La información de la pantalla a bordo se actualizó exitosamente!,تم تحديث معلومات الشاشة الموجودة على اللوحة بنجاح!,Les informations sur l'écran intégré ont été mises à jour avec succès !
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!,Écran supprimé avec succès !
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó correctamente!,تم تحديث شاشة البداية بنجاح!,Écran de démarrage mis à jour avec succès !
URL settings updated successfully!,URL settings updated successfully!,¡La configuración de URL se actualizó correctamente!,تم تحديث إعدادات URL بنجاح!,Paramètres d'URL mis à jour avec succès !
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,¡La configuración de transmisión se actualizó exitosamente!,تم تحديث تكوين البث بنجاح!,Configuration de diffusion mise à jour avec succès !
All Contact Message,All Contact Message,Todos los mensajes de contacto,جميع رسائل الاتصال,Tous les messages de contact
Contact Message delete successfully!,Contact Message delete successfully!,Contacto ¡Eliminación del mensaje exitosamente!,تم حذف رسالة الاتصال بنجاح!,Message de contact supprimé avec succès !
Cookie information updated successfully!,Cookie information updated successfully!,¡La información de las cookies se actualizó correctamente!,تم تحديث معلومات ملفات تعريف الارتباط بنجاح!,Les informations sur les cookies ont été mises à jour avec succès !
Crypto Assets,Crypto Assets,Activos criptográficos,أصول التشفير,Actifs cryptographiques
Wallet generated successfully!,Wallet generated successfully!,¡Monedero generado exitosamente!,تم إنشاء المحفظة بنجاح!,Portefeuille généré avec succès !
Balance Updated Successfully!,Balance Updated Successfully!,¡Saldo actualizado exitosamente!,تم تحديث الرصيد بنجاح!,Solde mis à jour avec succès !
Wallet Added Successfully!,Wallet Added Successfully!,¡Billetera agregada exitosamente!,تمت إضافة المحفظة بنجاح!,Portefeuille ajouté avec succès !
Wallet Address Deleted Successfully!,Wallet Address Deleted Successfully!,¡Dirección de billetera eliminada exitosamente!,تم حذف عنوان المحفظة بنجاح!,Adresse du portefeuille supprimée avec succès !
Wallet Information not found!,Wallet Information not found!,¡No se encontró información de billetera!,لم يتم العثور على معلومات المحفظة!,Informations sur le portefeuille introuvables !
Wallet Status Changed Successfully!,Wallet Status Changed Successfully!,¡El estado de la billetera cambió exitosamente!,تم تغيير حالة المحفظة بنجاح!,Le statut du portefeuille a été modifié avec succès !
Crypto Asset Not Found!,Crypto Asset Not Found!,¡Criptoactivo no encontrado!,لم يتم العثور على الأصول المشفرة!,Actif cryptographique introuvable !
Default currency make failed! Please try again.,Default currency make failed! Please try again.,¡Error en la creación de moneda predeterminada! Inténtalo de nuevo.,العملة الافتراضية فشلت! حاول مرة اخرى.,Échec de la création de la devise par défaut ! Veuillez réessayer.
Currency Saved Successfully!,Currency Saved Successfully!,¡Moneda guardada con éxito!,تم حفظ العملة بنجاح!,Devise enregistrée avec succès !
Currency record not found in our system.,Currency record not found in our system.,Registro de moneda no encontrado en nuestro sistema.,سجل العملة غير موجود في نظامنا.,Enregistrement de devise introuvable dans notre système.
Currency status updated successfully!,Currency status updated successfully!,¡El estado de la moneda se actualizó exitosamente!,تم تحديث حالة العملة بنجاح!,Statut de la devise mis à jour avec succès !
Currency not found!,Currency not found!,¡Moneda no encontrada!,لم يتم العثور على العملة!,Devise introuvable !
Image file upload failed!,Image file upload failed!,¡Error al cargar el archivo de imagen!,فشل تحميل ملف الصورة!,Échec du téléchargement du fichier image !
Successfully updated the information.,Successfully updated the information.,Se actualizó exitosamente la información.,تم تحديث المعلومات بنجاح.,Les informations ont été mises à jour avec succès.
Currency deleted successfully!,Currency deleted successfully!,¡Moneda eliminada exitosamente!,تم حذف العملة بنجاح!,Devise supprimée avec succès !
Extension has been updated successfully,Extension has been updated successfully,La extensión se ha actualizado correctamente.,تم تحديث الامتداد بنجاح,L'extension a été mise à jour avec succès
Extension is not found!,Extension is not found!,¡No se encuentra la extensión!,لم يتم العثور على التمديد!,L'extension n'est pas trouvée !
Extension status is updated successfully!,Extension status is updated successfully!,¡El estado de la extensión se actualizó correctamente!,تم تحديث حالة الامتداد بنجاح!,Le statut de l'extension a été mis à jour avec succès !
Stripe Api Key Updated Successful,Stripe Api Key Updated Successful,Clave API de Stripe actualizada correctamente,تم تحديث مفتاح Stripe Api بنجاح,La clé API Stripe a été mise à jour avec succès
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!,Langue mise à jour avec succès !
File remove failed!,File remove failed!,¡Error al eliminar el archivo!,فشل إزالة الملف!,La suppression du fichier a échoué !
Language deleted successfully!,Language deleted successfully!,¡Idioma eliminado exitosamente!,تم حذف اللغة بنجاح!,Langue supprimée avec succès !
Please deselect your default language first.,Please deselect your default language first.,Primero deseleccione su idioma predeterminado.,الرجاء إلغاء تحديد لغتك الافتراضية أولاً.,Veuillez d'abord désélectionner votre langue par défaut.
Language status updated successfully!,Language status updated successfully!,¡El estado del idioma se actualizó exitosamente!,تم تحديث حالة اللغة بنجاح!,Statut de langue mis à jour avec succès !
Sorry! Language not found!,Sorry! Language not found!,¡Lo siento! ¡Idioma no encontrado!,آسف! لم يتم العثور على اللغة!,Désolé! Langue introuvable !
Failed to store new file.,Failed to store new file.,No se pudo almacenar el nuevo archivo.,فشل في تخزين الملف الجديد.,Échec du stockage du nouveau fichier.
Oops! Language not found!,Oops! Language not found!,¡Ups! ¡Idioma no encontrado!,أُووبس! لم يتم العثور على اللغة!,Oops! Langue introuvable !
Language switch successfully!,Language switch successfully!,¡Cambio de idioma exitoso!,تبديل اللغة بنجاح!,Changement de langue réussi !
File does not exists.,File does not exists.,El archivo no existe.,الملف غير موجود.,Le fichier n'existe pas.
Email Unverified Merchants,Email Unverified Merchants,Envíe un correo electrónico a comerciantes no verificados,إرسال بريد إلكتروني إلى التجار الذين لم يتم التحقق منهم,Envoyer un e-mail aux marchands non vérifiés
SMS Unverified Merchants,SMS Unverified Merchants,Comerciantes SMS no verificados,التجار الذين لم يتم التحقق منهم عبر الرسائل النصية القصيرة,Marchands SMS non vérifiés
KYC Unverified Merchants,KYC Unverified Merchants,Comerciantes no verificados de KYC,التجار الذين لم يتم التحقق منهم,Marchands non vérifiés KYC
Merchants Details,Merchants Details,Detalles de los comerciantes,تفاصيل التجار,Détails des marchands
Oops! Merchant not exists,Oops! Merchant not exists,¡Ups! El comerciante no existe,أُووبس! التاجر غير موجود,Oops! Le marchand n'existe pas
Oops! Merchant doesn,Oops! Merchant doesn,¡Ups! El comerciante no,أُووبس! التاجر لا,Oops! Le commerçant ne
Merchants KYC successfully approved,Merchants KYC successfully approved,Comerciantes KYC aprobados con éxito,تمت الموافقة على KYC للتجار بنجاح,Le KYC des commerçants a été approuvé avec succès
Merchant doesn,Merchant doesn,El comerciante no,التاجر لا,Le commerçant ne
Merchant KYC information not found,Merchant KYC information not found,Información KYC del comerciante no encontrada,لم يتم العثور على معلومات KYC الخاصة بالتاجر,Informations KYC du commerçant introuvables
Merchant KYC information is rejected,Merchant KYC information is rejected,Se rechaza la información KYC del comerciante,تم رفض معلومات KYC الخاصة بالتاجر,Les informations KYC du commerçant sont rejetées
Merchant Email Logs,Merchant Email Logs,Registros de correo electrónico del comerciante,سجلات البريد الإلكتروني للتاجر,Journaux de courrier électronique des marchands
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول,Journaux de connexion
Merchant wallet not found!,Merchant wallet not found!,¡No se encontró la billetera del comerciante!,لم يتم العثور على محفظة التاجر!,Portefeuille marchand introuvable !
Merchant do not have sufficient balance,Merchant do not have sufficient balance,El comerciante no tiene saldo suficiente,التاجر ليس لديه رصيد كافي,Le commerçant n'a pas de solde suffisant
Setup Module Settings,Setup Module Settings,Configuración del módulo de configuración,إعدادات وحدة الإعداد,Paramètres du module de configuration
Module not found!,Module not found!,¡Módulo no encontrado!,لم يتم العثور على الوحدة النمطية!,Module introuvable !
Module status updated successfully!,Module status updated successfully!,¡El estado del módulo se actualizó exitosamente!,تم تحديث حالة الوحدة بنجاح!,L'état du module a été mis à jour avec succès !
Money out details for,Money out details for,Detalles de retiro de dinero para,تفاصيل صرف الأموال ل,Détails des retraits d'argent pour
Money Out request approved successfully,Money Out request approved successfully,Solicitud de retiro de dinero aprobada exitosamente,تمت الموافقة على طلب صرف الأموال بنجاح,Demande de retrait d'argent approuvée avec succès
Money Out request rejected successfully,Money Out request rejected successfully,Solicitud de retiro de dinero rechazada exitosamente,تم رفض طلب صرف الأموال بنجاح,Demande de retrait d'argent rejetée avec succès
Newsletter Section,Newsletter Section,Sección de boletín,قسم النشرة الإخبارية,Section Bulletin
Selected payment newsletter is invalid!,Selected payment newsletter is invalid!,¡El boletín de pago seleccionado no es válido!,النشرة الإخبارية للدفعة المحددة غير صالحة!,La newsletter de paiement sélectionnée n'est pas valide !
Newsletter deleted successfully!,Newsletter deleted successfully!,¡Boletín eliminado con éxito!,تم حذف النشرة الإخبارية بنجاح!,Newsletter supprimée avec succès !
Payment gateway currency not found!,Payment gateway currency not found!,¡No se encontró la moneda de la pasarela de pago!,لم يتم العثور على عملة بوابة الدفع!,Devise de la passerelle de paiement introuvable !
Payment gateway currency deleted successfully!,Payment gateway currency deleted successfully!,¡La moneda de la pasarela de pago se eliminó correctamente!,تم حذف عملة بوابة الدفع بنجاح!,La devise de la passerelle de paiement a été supprimée avec succès !
Automatic Add Money,Automatic Add Money,Agregar dinero automáticamente,إضافة الأموال تلقائيًا,Ajouter de l'argent automatiquement
Manual Add Money,Manual Add Money,Agregar dinero manualmente,دليل إضافة المال,Ajouter de l'argent manuellement
Automatic Money Out,Automatic Money Out,Salida automática de dinero,إخراج الأموال تلقائيًا,Retrait automatique de l'argent
Manual Add Money Edit,Manual Add Money Edit,Agregar dinero manualmente Editar,تحرير إضافة الأموال يدويًا,Ajouter de l'argent manuellement Modifier
Money Out Edit,Money Out Edit,Salida de dinero Editar,تحرير الأموال,Argent sortant Modifier
Payment gateway added successfully!,Payment gateway added successfully!,¡Pasarela de pago agregada exitosamente!,تمت إضافة بوابة الدفع بنجاح!,Passerelle de paiement ajoutée avec succès !
Payment gateway status updated successfully!,Payment gateway status updated successfully!,¡El estado de la pasarela de pago se actualizó correctamente!,تم تحديث حالة بوابة الدفع بنجاح!,Statut de la passerelle de paiement mis à jour avec succès !
Selected payment gateway is invalid!,Selected payment gateway is invalid!,¡La pasarela de pago seleccionada no es válida!,بوابة الدفع المحددة غير صالحة!,La passerelle de paiement sélectionnée n'est pas valide !
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!,Informations mises à jour avec succès !
Image upload failed! Please try again.,Image upload failed! Please try again.,¡La carga de la imagen falló! Inténtalo de nuevo.,فشل تحميل الصورة! حاول مرة اخرى.,Le téléchargement de l'image a échoué ! Veuillez réessayer.
Oops! Payment gateway not found!,Oops! Payment gateway not found!,¡Ups! ¡Pasarela de pago no encontrada!,أُووبس! بوابة الدفع غير موجودة!,Oops! Passerelle de paiement introuvable !
Money Out Add,Money Out Add,Añadir salida de dinero,إضافة الأموال,Argent sortant Ajouter
The gateway name has already been taken.,The gateway name has already been taken.,El nombre de la puerta de enlace ya ha sido tomado.,لقد تم بالفعل أخذ اسم البوابة.,Le nom de la passerelle a déjà été pris.
Payment gateway deleted successfully!,Payment gateway deleted successfully!,¡Pasarela de pago eliminada con éxito!,تم حذف بوابة الدفع بنجاح!,Passerelle de paiement supprimée avec succès !
Payment Link details,Payment Link details,Detalles del enlace de pago,تفاصيل رابط الدفع,Détails du lien de paiement
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة السر بنجاح!,Mot de passe mis à jour avec succès!
All Profits Logs,All Profits Logs,Todos los registros de ganancias,جميع سجلات الأرباح,Tous les journaux de bénéfices
Oops! Basic settings not found!,Oops! Basic settings not found!,¡Ups! ¡No se encontraron configuraciones básicas!,أُووبس! لم يتم العثور على الإعدادات الأساسية!,Oops! Paramètres de base introuvables !
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.,Désolé! Vous devez d'abord configurer pour envoyer une notification push.
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,Configure su notificación push con credenciales válidas.,يرجى تكوين إشعار الدفع الخاص بك ببيانات اعتماد صالحة.,Veuillez configurer votre notification push avec des informations d'identification valides.
Oops! Failed to store information.,Oops! Failed to store information.,¡Ups! No se pudo almacenar la información.,أُووبس! فشل في تخزين المعلومات.,Oops! Échec du stockage des informations.
Notification sended successfully!,Notification sended successfully!,¡Notificación enviada exitosamente!,تم إرسال الإخطار بنجاح!,Notification envoyée avec succès !
